case_Model,MRP,cpu_Model,MRP,internal-hard-drive_Model,MRP,memory_Model,MRP,motherboard_Model,MRP,power-supply_Model,MRP,video-card_Model,MRP,Total Price
GameMax G563,75.65,Intel Core i7-6900K,515.72,Mushkin Helix-L,109.59,G.Skill Trident Z RGB 16 GB,633.94,MSI MAG Z790 TOMAHAWK MAX WIFI,247.42,Corsair RM750 (2019),692.63,Asus ROG STRIX-GTX1070-O8G-GAMING,7108.99,9383.94
DIYPC MA08,212.35,AMD Ryzen 9 3900XT,4059.06,Inland Professional,2236.93,G.Skill Trident Z RGB 32 GB,3741.68,Gigabyte X670E AORUS MASTER (rev. 1.0),3278.66,Cooler Master G700,377.35,PowerColor Red Dragon OC,7397.57,21303.6
MSI MAG PANO M100R PZ,978.34,Intel Core i5-14600K,2869.01,Inland Performance Plus,1134.74,Corsair Vengeance 192 GB,3084.39,MSI MEG Z790 ACE MAX,1905.47,Super Flower Leadex III Gold,536.34,MSI GAMING X TRIO,1334.26,11842.55
Fractal Design Torrent,198.4,Intel Core i7-10700,1864.05,Inland TN470,2374.71,Corsair Vengeance 192 GB,3610.72,MSI PRO H610M-G WIFI DDR4,99.53,SeaSonic VERTEX GX-1200,276.95,MSI GAMING X SLIM,788.88,9213.24
Fractal Design Focus 2,459.86,AMD A12-9800,1424.46,Samsung 970 Evo,1983.34,Corsair Vengeance RGB RS 32 GB,3731.98,Asus PRIME Z390-A,2510.12,G.Skill MB750G,567.92,MSI RTX 4090 GAMING SLIM 24G,7053.53,17731.21
Phanteks Enthoo Pro,980.11,AMD Ryzen 5 5500,1161.03,Lexar NM620,2132.78,Corsair Vengeance RGB 192 GB,549.24,MSI B450M-A PRO MAX II,3801.11,NZXT C1200,570.34,Asus ROG STRIX-GTX1070-O8G-GAMING,734.75,9929.36
Fractal Design Define 7 XL,47.58,Intel Core i5-9600KF,2481.53,Corsair MP700,705.44,Corsair Vengeance LPX 128 GB,981.65,Gigabyte Z790 AORUS ELITE AX ICE,3796.15,NZXT C1000 (2022),473.79,MSI VENTUS 3X OC,8549.88,17036.02
HYTE Y40,105.62,Intel Core i7-12700K,1146.86,Silicon Power A55,2184.3,Patriot Viper Elite 5 RGB 32 GB,1663.67,Asus TUF GAMING B550M-PLUS WIFI II,3712.2,SeaSonic FOCUS GX,215.9,ASRock Challenger D,6386.21,15414.76
Montech SKY TWO GX,175.0,AMD 2650,4078.71,Samsung 860 Evo,2156.91,KingBank SharpBlade 32 GB,1484.16,MSI MAG B550 TOMAHAWK,3307.59,Asus ROG THOR 850P,582.92,XFX Speedster QICK 319 Core,5447.31,17232.6
Deepcool CK560,54.7,Intel Core i7-960,3751.13,TEAMGROUP MP44,490.3,Kingston FURY Beast RGB 64 GB,516.04,Gigabyte B650 GAMING X AX V2,3577.8,Cooler Master V850 SFX GOLD,399.22,PowerColor Hellhound Spectral,9413.47,18202.66
Deepcool MACUBE 110,816.85,Intel Core i5-760,2882.68,Western Digital Caviar Blue,182.49,Corsair Dominator Platinum RGB 32 GB,662.79,NZXT N7 Z790,1268.65,MSI A1000G PCIE5,444.9,Asus TUF GAMING,720.57,6978.93
Deepcool CH370,767.09,Intel Core i7-11700K,3344.75,Kingston Fury Renegade,2092.94,Crucial Pro Overclocking 32 GB,1109.66,ASRock X570 Phantom Gaming-ITX/TB3,3280.12,Corsair SF1000L,604.58,Gigabyte AERO OC,5435.89,16635.03
Corsair 275R Airflow,620.17,Intel Core i7-11700K,1015.73,TEAMGROUP MP33,2432.98,TEAMGROUP T-Force Vulcan Z 16 GB,1314.32,Asus TUF GAMING B760M-PLUS WIFI,789.35,Cooler Master V SFX Gold ATX 3.0,516.8,ASRock Challenger D OC,4463.66,11153.01
Montech AIR 903 BASE,366.87,Intel Core i5-4570T,1531.24,Inland Professional,1742.23,Corsair Vengeance LPX 4 GB,3008.87,ASRock Z790 PRO RS WIFI,901.92,Corsair RM1000e (2023),559.83,PNY RTX A-Series,3192.65,11303.61
Thermaltake V250 TG ARGB,695.59,Intel Core i7-4930K,723.11,Western Digital Black SN850X w/Heatsink,1408.45,G.Skill Ripjaws S5 96 GB,133.66,ASRock B450M-HDV R4.0,3554.43,Asus ROG THOR 1600T Gaming,52.67,PowerColor Red Dragon OC,8419.9,14987.81
Phanteks Enthoo Pro 2 Server Edition,66.89,Intel Core i5-13600KF,4028.41,KIOXIA EXCERIA PRO,423.17,Corsair Vengeance LPX 4 GB,3758.8,MSI PRO B760M-A WIFI,3878.46,Thermaltake Smart RGB 230V,231.51,ASRock Phantom Gaming OC,2008.93,14396.17
Cooler Master MasterBox TD500 Mesh White w/ Controller,902.48,AMD FX-6100,4132.58,Corsair MP700 PRO w/Heatsink,1284.64,TEAMGROUP T-Create Expert 64 GB,1318.11,ASRock A620M Pro RS,3584.71,Super Flower Leadex Titanium,654.41,Gigabyte AORUS MASTER,1230.46,13107.39
HYTE Y70,582.57,Intel Core i5-11400,3703.61,Toshiba MG10 512e,848.42,Patriot Viper Elite 5 RGB 32 GB,41.98,Gigabyte B450 I AORUS PRO WIFI,2749.75,Corsair HX1000i (2023),514.24,PowerColor Fighter OC,6188.18,14628.75
Thermaltake Versa H17,143.69,Intel Core i5-14500,3170.36,TEAMGROUP GX2,290.88,Kingston ValueRAM 4 GB,2658.26,ASRock Z790 Pro RS,3737.43,Corsair RM750 (2019),413.42,ASRock Phantom Gaming OC,7317.06,17731.1
Phanteks Eclipse G360A,649.95,AMD Ryzen 5 3600X,3675.5,Western Digital Black SN770,671.46,G.Skill Ripjaws S5 32 GB,2659.95,Gigabyte Z790 AORUS MASTER X,1664.68,MSI A1000G PCIE5,119.36,ASRock Challenger D OC,9164.75,18605.65
Lian Li O11D EVO RGB,729.1,AMD Ryzen 3 2200G,4241.46,MSI SPATIUM M480 PRO,1940.23,Klevv BOLT V 32 GB,3871.63,ASRock B650E Taichi Lite,939.86,EVGA SuperNOVA 850 GM,425.34,PNY VCNRTX6000ADA-PB,8898.36,21045.98
be quiet! Pure Base 500 FX,145.94,Intel Core i9-10900X,1365.06,SanDisk SSD PLUS,2347.7,Patriot Viper Venom 32 GB,1714.05,Gigabyte B650 AORUS ELITE AX,3026.22,SeaSonic FOCUS Plus 650 Gold,174.67,Gigabyte EAGLE,4566.85,13340.49
Lian Li O11 Air Mini,64.31,AMD Ryzen 7 5700X,1143.23,Western Digital Red,2059.95,Corsair Vengeance RGB Pro 32 GB,3482.84,Asus ROG STRIX Z690-I GAMING WIFI,1392.13,MSI MPG A850GF,693.81,MSI Ventus XS OCV1,3515.86,12352.13
MSI MPG GUNGNIR 110R,217.23,Intel Core i3-530,2827.72,Seagate IronWolf Pro,1911.8,TEAMGROUP T-Create Expert 32 GB,3445.69,Asus ROG STRIX B550-F GAMING WIFI II,3054.31,Azza PSAZ-550W,40.05,PNY VCNRTX6000ADA-PB,668.05,12164.85
Zalman P30,56.52,AMD Ryzen 5 7600,3208.59,Patriot P300,442.31,Patriot Viper Steel 32 GB,2729.54,MSI Z490-A PRO,773.11,Cooler Master V750 SFX GOLD,110.94,PowerColor Red Devil,3911.74,11232.75
Fractal Design Pop XL Air,42.56,Intel Core i7-6700,857.51,Seagate BarraCuda,739.89,Corsair Vengeance RGB 32 GB,3197.97,ASRock B550 Phantom Gaming 4,2196.36,Corsair AX1600i,274.79,AMD 100-505999,8594.24,15903.32
GAMDIAS AURA GC1,271.5,AMD Ryzen 5 2400G,2165.86,Seagate FireCuda,2418.79,Silicon Power GAMING 32 GB,2823.4,Asus PRIME Z790-P WIFI,1720.18,Corsair CX550 (2017),441.77,EVGA XC3 ULTRA GAMING,1766.43,11607.93
Fractal Design Focus 2,801.85,Intel Core i9-9900K,788.43,Western Digital Blue SN580,1153.26,G.Skill Trident Z Royal 128 GB,1388.49,MSI B450 Gaming Plus MAX,2335.29,be quiet! System Power 10,218.65,XFX Speedster QICK 319 Core,8169.86,14855.83
Phanteks XT PRO ULTRA,908.92,Intel Core i5-12400F,169.41,Seagate FireCuda,479.66,Kingston Server Premier 32 GB,549.8,Gigabyte TRX40 AORUS PRO WIFI,1093.3,Vetroo GV1000,295.45,EVGA SC2,5619.42,9115.96
Corsair 6500X,312.97,Intel Celeron G3900,2642.95,Solidigm P41 Plus,1292.07,TEAMGROUP T-Create Expert 64 GB,123.19,ASRock B650 LiveMixer,2067.88,Corsair CX (2023),96.48,EVGA FTW3 ULTRA GAMING,4078.02,10613.56
Jonsbo N2,658.85,Intel Core i5-9500,3877.59,Silicon Power A60,2151.45,TEAMGROUP T-Force Vulcan Z 16 GB,2708.29,ASRock B650E PG RIPTIDE WIFI,3213.2,EVGA SuperNOVA 1000G XC,618.42,MSI GAMING TRIO CLASSIC,5731.35,18959.15
Fractal Design Pop XL Air,638.06,Intel Core i9-7920X,860.05,PNY CS1030,1838.07,Kingston FURY Beast RGB 32 GB,2279.87,MSI PRO B650-S WIFI,1093.91,Corsair SF850L,545.2,Sparkle ORC OC,8462.47,15717.63
Asus ROG Strix Helios,239.66,AMD Ryzen 3 3200G,2038.49,Kingston KC3000,2261.32,TEAMGROUP T-Force Delta RGB 32 GB,2154.93,Gigabyte Z790 AORUS PRO X,734.27,CoolMax I-500,62.65,Acer Predator BiFrost OC,6827.55,14318.87
Cooler Master MasterBox NR200,747.67,Intel Core i5-13400F,2949.83,ADATA SU630,52.23,G.Skill Ripjaws S5 96 GB,1311.05,Asus ROG STRIX B650-A GAMING WIFI,2395.56,Lian Li SP,341.88,Gigabyte Vision OC,1702.22,9500.44
Lian Li O11 Air Mini,947.82,Intel Celeron 420,2176.44,Samsung 850 Evo,734.2,Kingston FURY Beast 32 GB,3765.8,MSI PRO B650M-P,628.75,Corsair RM1000e (2023),275.27,Asus ProArt OC,6503.47,15031.75
Zalman S3,703.25,Intel Core i3-3250,932.13,Seagate IronWolf Pro NAS,2339.69,Corsair Dominator Platinum RGB 32 GB,3132.32,ASRock B650I Lightning Wifi,784.47,EVGA 850 B5,554.36,MSI VENTUS XS OC,8548.4,16994.62
NZXT H5 Flow,757.01,AMD Ryzen 5 3600X,2198.8,Crucial T700,2137.59,Kingston Server Premier 32 GB,2089.51,ASRock B660M-HDV,1432.9,EVGA 650 B5,216.43,ASRock Phantom Gaming OC,4484.71,13316.95
Corsair 4000D Airflow,489.58,Intel Core i5-13500,3727.31,Crucial T500,1862.62,Corsair Vengeance 96 GB,2242.83,Asus TUF GAMING Z790-PRO WIFI,723.19,EVGA 700 BR,303.69,Asus TUF Gaming OG OC,3811.63,13160.85
Deepcool CH560,899.91,Intel Core i7-3770K,704.32,SK Hynix Platinum P41,467.53,Corsair Vengeance RGB 192 GB,2405.72,ASRock B660M-HDV,3512.4,be quiet! Dark Power 13,681.13,PowerColor Hellhound,6204.05,14875.06
Lian Li O11 Air Mini,960.44,Intel Pentium Gold G5500,2251.32,Western Digital Black SN850X w/Heatsink,183.04,Corsair Vengeance LPX 32 GB,1329.07,MSI PRO B650-P WIFI,2747.18,Corsair SF1000L,694.93,Asus ROG Matrix Platinum,3916.85,12082.83
Cooler Master MasterBox NR600 (w/o ODD),182.6,Intel Core i7-12700F,3468.66,Lexar NS100,1136.92,Silicon Power GAMING 32 GB,698.71,Asus ROG STRIX B550-F GAMING WIFI II,3716.11,EVGA SuperNOVA 750 GA,62.31,PowerColor Red Dragon OC,9499.52,18764.83
BitFenix Nova Mesh M ARGB,870.84,Intel Core i5-11600K,3988.89,Solidigm P44 Pro,1831.41,Crucial Pro 64 GB,241.15,ASRock B550 Phantom Gaming 4,394.25,SeaSonic PRIME TX,431.2,MSI VENTUS XS OC,4445.82,12203.56
NZXT H6 Flow RGB,844.22,Intel Core i9-13900,4225.11,Crucial T700,1504.94,Corsair Vengeance RGB Pro SL 32 GB,115.79,MSI B760 GAMING PLUS WIFI,3567.18,Thermaltake Toughpower SFX,204.13,Zotac GAMING Twin Edge OC,2928.78,13390.15
Corsair 2500X,658.81,Intel Core i3-8100,3046.94,Lexar NM620,2482.85,Crucial Classic 8 GB,73.99,ASRock B450M/ac R2.0,3660.87,Thermaltake Smart,464.42,XFX Speedster MERC 308 Black,1728.37,12116.25
BitFenix Nova Mesh M ARGB,869.91,AMD FX-6300,626.51,TEAMGROUP MS30,72.21,Silicon Power GAMING 16 GB,2481.38,Asus TUF GAMING Z490-PLUS (WI-FI),3630.59,be quiet! System Power 10,583.88,Asus ROG STRIX-GTX1070-O8G-GAMING,8043.58,16308.06
Corsair 2000D AIRFLOW,924.18,Intel Core i5-7500,3300.54,Western Digital Red,1237.52,Silicon Power GAMING 32 GB,3636.17,MSI MAG Z790 TOMAHAWK WIFI,1036.28,SeaSonic FOCUS GX-1000 ATX 3.0,555.95,EVGA Gaming iCX,4106.39,14797.03
Corsair 6500X,449.54,Intel Core i9-10940X,1744.11,Western Digital Black SN850X w/Heatsink,2462.02,TEAMGROUP T-Force Delta RGB 32 GB,2259.53,Gigabyte H610M K DDR4,2649.19,FSP Group FSP400-60FGGBA,114.22,MSI RTX 4090 GAMING SLIM 24G,9754.78,19433.39
Montech AIR 903 BASE,695.29,AMD Ryzen 5 2600,4177.13,Seagate FireCuda 530,1489.67,Corsair Vengeance 96 GB,3747.41,MSI MAG B550M MORTAR MAX WIFI,2423.78,Corsair CX650M,308.9,Asus ROG STRIX-GTX1070-O8G-GAMING,2959.72,15801.9
Fractal Design Terra,683.39,Intel Core i3-12100,2224.95,Western Digital Black SN770,1031.84,Corsair Vengeance RGB 32 GB,1729.73,Asus TUF GAMING Z490-PLUS (WI-FI),1696.59,Asus ROG THOR P2 Gaming,409.17,MSI GAMING TRIO CLASSIC,6364.05,14139.72
Thermaltake Versa H17,372.62,Intel Core i5-2400S,206.42,Seagate Barracuda Compute,367.94,Patriot Viper Venom 32 GB,774.14,MSI PRO B650M-A WIFI,2497.49,Corsair SF750,703.41,XFX Speedster SWFT 210,568.62,5490.64
BitFenix Nova Mesh M ARGB,802.42,Intel Core i7-10700K,3100.68,Lexar NM620,1573.44,Corsair Vengeance RGB 64 GB,2141.47,MSI PRO B650-S WIFI,2384.55,be quiet! Pure Power 11,479.13,XFX GTS XXX,5696.01,16177.7
Corsair 5000D AIRFLOW,320.06,Intel Core i5-12600KF,1747.67,TEAMGROUP MP44,1342.99,TEAMGROUP T-Force Delta RGB 32 GB,1738.34,MSI X670E GAMING PLUS WIFI,743.55,Corsair RM750x (2021),530.28,EVGA FTW3 ULTRA GAMING,8529.25,14952.14
MSI MAG FORGE 100M,234.98,Intel Core i5-12400F,612.87,Samsung 980,2153.52,TEAMGROUP T-Create Expert 64 GB,1096.91,MSI Z790 GAMING PRO WIFI,1499.84,EVGA SuperNOVA 750 GM,110.51,EVGA Gaming iCX,9520.24,15228.87
Jonsbo N1,996.35,Intel Xeon E5-2690 V4,1312.92,TEAMGROUP QX,1176.61,Corsair Vengeance RGB RS 32 GB,1002.47,ASRock X670E Taichi Carrara,3665.94,Cooler Master G700,155.76,MSI ARMOR OC,6419.78,14729.83
Corsair iCUE 5000D RGB AIRFLOW,860.28,AMD Threadripper 1900X,3996.33,Western Digital Ultrastar DC HC550,1365.6,Kingston FURY Beast 32 GB,1753.14,ASRock X670E Taichi Carrara,3134.11,Thermaltake Smart RGB 230V,656.45,Asus TUF GAMING,4662.71,16428.62
Fractal Design Node 804,621.62,Intel Core i9-13900KS,2805.0,Corsair MP600 CORE XT,1004.78,TEAMGROUP T-Force Delta RGB 32 GB,2349.39,Gigabyte H510M S2H V3,2700.33,Deepcool PQ1000M,681.53,MSI D3H LP,9313.94,19476.59
HYTE Y70 Touch,610.19,AMD Ryzen 5 5600X,3032.2,Samsung 980 Pro,744.32,TEAMGROUP T-Force Vulcan 32 GB,1765.28,ASRock B550M Steel Legend,2420.73,Fractal Design Ion Gold,433.7,ASRock Challenger D OC,7201.53,16207.95
HYTE Y40,129.39,AMD Ryzen 7 5700G,2321.66,Inland Professional,1370.77,G.Skill Trident Z Royal 32 GB,595.23,Gigabyte Z790 AORUS ELITE X WIFI7,2753.9,Cooler Master MWE Gold V2 ATX3.0,352.81,PowerColor Hellhound,5686.19,13209.95
Deepcool CH370,421.36,AMD Threadripper 3970X,3184.25,PNY CS1030,1091.76,Corsair Vengeance LPX 32 GB,1496.38,Supermicro MBD-X10DRI-O,2776.26,EVGA SuperNOVA 750 G5,610.92,PNY XLR8 Gaming VERTO EPIC-X RGB OC,6643.61,16224.54
Corsair Obsidian Series 1000D,213.68,Intel Core i5-7500,2975.67,Intel DC P3600,2406.13,Corsair Vengeance RGB RS 32 GB,3751.28,ASRock A520M-HDV,2197.45,Thermaltake Toughpower GF A3 Snow,545.29,Asus ROG STRIX-GTX1070-O8G-GAMING,2004.93,14094.43
Lian Li O11 Air Mini,354.99,AMD Ryzen 5 1600X,4044.82,PNY CS1030,734.96,TEAMGROUP T-Force Delta RGB 48 GB,567.18,Asus TUF GAMING Z790-PRO WIFI,879.27,Gigabyte UD1000GM PG5 (rev. 2.0),673.12,Asus ROG Matrix Platinum,5251.94,12506.28
NZXT H7 Flow RGB,419.79,Intel Xeon E3-1245 V5,2159.89,Crucial P3,729.56,G.Skill Ripjaws S5 64 GB,1645.48,Gigabyte A520I AC,1608.46,Corsair RM850x SHIFT,22.85,MSI VENTUS 3X E OC,8848.7,15434.73
Phanteks Enthoo Pro 2 Server Edition,154.72,AMD Ryzen 7 5700X3D,1223.71,TEAMGROUP GX2,465.87,ADATA XPG Lancer Blade 32 GB,985.95,Supermicro X11SCL-IF,2751.87,EVGA 750 BQ,76.57,Sapphire PURE,3086.42,8745.11
Silverstone ALTA F2,684.04,AMD Ryzen 5 2600,1027.37,Samsung 870 Evo,1244.61,Patriot Viper Venom 16 GB,3391.81,ASRock Z690 Phantom Gaming-ITX/TB4,144.35,SeaSonic FOCUS GX-750 ATX 3.0,525.41,Asus GT730-4H-SL-2GD5,8699.66,15717.25
Fractal Design Pop XL Air,480.59,AMD Ryzen 5 2600X,3424.03,Seagate Surveillance HDD,1393.16,G.Skill Trident Z5 RGB 32 GB,3888.15,Supermicro X11SCL-IF,3461.06,G.Skill MB750G,69.64,XFX Speedster QICK 319 Core,966.68,13683.31
NZXT H6 Flow RGB,636.61,Intel Xeon E3-1245 V5,1922.38,Kingston Fury Renegade,1487.06,Corsair Vengeance 96 GB,3454.56,MSI MPG X670E CARBON WIFI,1746.65,EVGA SuperNOVA 1000G XC,643.61,Gigabyte WINDFORCE V2,9565.24,19456.11
Lian Li O11 Vision Chrome,619.57,AMD Ryzen 5 5500,1319.01,Western Digital Black SN770,1407.94,TEAMGROUP T-Force Vulcan Z 32 GB,2310.04,MSI MAG B550 TOMAHAWK MAX WIFI,546.46,EVGA SuperNOVA 750 GM,474.71,EVGA FTW3 ULTRA GAMING,2391.46,9069.19
MSI MEG MAESTRO 700L PZ,352.78,Intel Xeon E3-1245 V5,3082.53,Klevv CRAS C710,673.16,G.Skill Trident Z Royal 32 GB,2413.4,Asus TUF GAMING X570-PLUS (WI-FI),1687.41,ADATA XPG Core Reactor II,683.59,Asus ROG Matrix Platinum,3870.62,12763.49
Lian Li PC-O11 Dynamic Razer,880.58,AMD Ryzen 7 5800X3D,1328.17,Samsung 860 Evo,2417.48,TEAMGROUP Vulcan Z 16 GB,104.36,Asus PRIME B450-PLUS,1562.88,Corsair CX750M (2021),152.24,PowerColor Red Dragon OC,4181.8,10627.51
Phanteks XT PRO,849.21,AMD A12-9800,2714.8,VisionTek QLC,591.91,Patriot Viper Steel 32 GB,3005.46,Gigabyte H610M S2H V2 DDR4,3439.29,Deepcool PX1200G,143.2,Gigabyte GAMING OC,8112.82,18856.69
Phanteks NV7,348.48,AMD Ryzen 5 2600X,4095.92,Sabrent Rocket 5,2101.82,KingBank SharpBlade 32 GB,3786.12,ASRock B650 LiveMixer,2298.82,Corsair RM750,32.69,EVGA Gaming iCX,4442.41,17106.26
NZXT H7 Flow,336.73,AMD Ryzen 3 3200G,3276.58,Inland Performance Plus,703.58,Silicon Power GAMING 32 GB,1312.33,Asus PRIME B550-PLUS AC-HES,1133.28,Thermaltake Toughpower GX2,171.45,PowerColor Red Dragon OC,9822.83,16756.78
HYTE Y70,74.5,Intel Core i5-12600K,3811.13,Seagate FireCuda,410.24,KingBank SharpBlade RGB 32 GB,1432.75,Asus TUF GAMING X670E-PLUS WIFI,2763.5,Corsair SF750,288.54,MSI SUPRIM X,8487.86,17268.52
Lian Li O11 Dynamic EVO,463.92,Intel Core i5-4460,2732.09,Lexar NM620,2029.43,TEAMGROUP T-Create Expert 16 GB,541.04,Asus ROG MAXIMUS Z790 HERO,1513.37,G.Skill MB750G,150.16,MSI SUPRIM LIQUID X,8986.26,16416.27
Corsair iCUE 5000X RGB,504.74,Intel Core i3-12100,396.33,Samsung 990 Pro w/Heatsink,766.72,Silicon Power XPOWER Turbine 32 GB,507.75,Gigabyte TRX40 AORUS PRO WIFI,939.83,SHARKOON SilentStorm Cool Zero 750,392.18,MSI VENTUS XS OC,3325.84,6833.39
DIYPC ARGB Q10,823.44,Intel Core i7-8700T,3515.57,Mushkin Helix-L,2280.29,G.Skill Trident Z Royal 32 GB,3698.78,Asus ROG STRIX B650E-F GAMING WIFI,2378.86,SeaSonic FOCUS GX-850 ATX 3.0,277.16,XFX Speedster SWFT 319,5231.06,18205.16
HYTE Y60,180.18,Intel Core i9-13900KS,2681.38,Western Digital Blue SN580,2388.37,TEAMGROUP Vulcan Z 16 GB,3113.98,ASRock B650 LiveMixer,3040.99,MSI MAG A650BN,502.56,MSI VENTUS 2X XS OC,3470.85,15378.31
Phanteks Enthoo Elite,712.88,Intel Core i9-13900KF,2411.18,Silicon Power A55,168.36,Corsair Vengeance 96 GB,1142.57,MSI PRO Z790-P WIFI,2177.19,Asus ROG THOR 850P,447.87,ASRock Challenger D OC,84.31,7144.36
Fractal Design Core 1000 USB 3.0,304.52,Intel Core i5-9600K,3335.48,Silicon Power XS70,766.19,Corsair Vengeance 128 GB,3794.92,MSI PRO Z790-S WIFI,377.93,SHARKOON SilentStorm Cool Zero 750,61.53,XFX Speedster MERC 308 Black,9334.58,17975.15
MSI MPG VELOX 100R,431.14,Intel Core i3-2120,2353.91,Western Digital Blue SA510,1356.99,TEAMGROUP T-Create Expert 32 GB,3458.6,ASRock B760M PG SONIC WiFi,2906.38,EVGA SuperNOVA 1000 P3,327.76,Asus ROG Matrix Platinum,1514.18,12348.96
Fractal Design Ridge PCIe 4.0,266.54,Intel Core i9-10850K,3965.65,Silicon Power XS70,1682.89,Crucial CT8G48C40U5 8 GB,274.86,MSI PRO B650M-A WIFI,1905.35,Vetroo GV1000,416.42,AMD 100-505999,9563.06,18074.77
Silverstone SG13 V2,45.51,AMD Ryzen 5 4500,3581.73,Silicon Power UD90,2415.4,G.Skill Trident Z5 Neo RGB 64 GB,660.02,Gigabyte B760M DS3H DDR4,3001.04,Super Flower Leadex Platinum SE,604.7,MSI GT 710 2GD3H LP,5472.95,15781.35
Antec NX200M,823.66,AMD Ryzen 7 5800X3D,2233.65,Kingston Fury Renegade,408.33,TEAMGROUP T-Create Expert 32 GB,3636.41,Gigabyte B550I AORUS PRO AX,3050.59,Corsair HX1500i (2023),643.94,Inno3D Twin X2,2525.1,13321.68
NZXT H9 Elite,329.84,Intel Core i5-8600,1809.05,TEAMGROUP GX2,1766.09,TEAMGROUP T-Create Expert 32 GB,449.18,Asus ROG STRIX B650E-E GAMING WIFI,2558.16,ADATA XPG CORE Reactor 650,391.97,PowerColor Red Devil,4920.63,12224.92
NZXT H6 Flow,85.63,AMD Ryzen 7 5800X3D,409.87,Corsair MP700 PRO,334.43,G.Skill Trident Z Royal 128 GB,3681.4,Asus ROG STRIX B550-A GAMING,2696.13,Deepcool PX1200G,257.21,EVGA Gaming iCX,239.46,7704.13
MagniumGear NEO QUBE 2,788.0,Intel Xeon E5-2690 V4,1819.44,Transcend 250S,209.59,Corsair Vengeance LPX 32 GB,1250.81,ASRock B650M-HDV/M.2,954.72,EVGA SuperNOVA 650 GA,239.4,MSI VENTUS XS OC,8036.2,13298.16
Corsair 275R Airflow,696.3,Intel Core i5-13400F,232.68,Western Digital Red,1514.8,Corsair Dominator Titanium 48 GB,1914.33,Gigabyte Z790 AORUS ELITE X WIFI7,665.11,MSI MPG A750GF,716.1,Sapphire NITRO+,2334.23,8073.55
Fractal Design Focus 2,898.44,AMD Ryzen 5 8500G,3220.01,KingSpec XG7000,1716.26,Corsair Vengeance RGB 192 GB,1356.64,Gigabyte H410M S2H V2,2575.38,Fractal Design Ion Gold,680.55,PowerColor Fighter,9539.15,19986.43
be quiet! Pure Base 500DX,139.02,Intel Core i7-5775C,332.92,Samsung 990 EVO,350.39,Corsair Vengeance LPX 4 GB,2101.07,Asus ROG STRIX B760-A GAMING WIFI,3027.61,Apevia Prestige,560.68,EVGA Gaming iCX,3956.63,10468.32
SHARKOON VS8,598.1,Intel Core i5-7500,1685.65,Toshiba MG10 512e,1839.78,Kingston FURY Beast 16 GB,1471.39,MSI MAG B650 TOMAHAWK WIFI,2289.23,Thermaltake Toughpower GX2,651.25,Gigabyte Vision OC,3134.76,11670.16
Montech X3 Mesh,150.68,Intel Core i9-9900KF,4222.09,Western Digital Blue SN570,2017.12,KingBank SharpBlade RGB 32 GB,2552.75,MSI PRO B550M-P GEN3,2943.05,EVGA SuperNOVA 750 GA,299.87,XFX Speedster QICK 319 Core,3599.8,15785.36
be quiet! Shadow Base 800 FX,283.93,Intel Core i3-10105F,2225.41,Crucial MX500,211.61,Corsair Vengeance LPX 32 GB,3896.19,ASRock B550M PG RIPTIDE,2894.7,SeaSonic PRIME TX-1600 ATX 3.0,174.44,PowerColor Hellhound OC,1016.85,10703.13
HYTE Y60,111.07,Intel Core i7-8700T,220.25,Samsung 980,319.73,Silicon Power Value Gaming 32 GB,593.46,MSI MPG Z790 CARBON WIFI II,1223.31,EVGA 600 BQ,119.29,MSI D6 VENTUS XS OCV3,1713.18,4300.29
Lian Li LANCOOL 215,514.66,AMD Threadripper 3970X,2464.82,Intel DC P3600,807.91,Patriot Viper Venom 32 GB,3512.98,Gigabyte B550I AORUS PRO AX,3100.25,ADATA XPG Core Reactor II,483.3,Gigabyte EAGLE OC,5719.12,16603.04
Antec P101 Silent,756.63,Intel Xeon E5-2699 V4,1329.49,Transcend 250S,65.21,Corsair Vengeance RGB 192 GB,57.92,Biostar H610MH,1002.83,Corsair RM750e (2023),292.74,XFX Speedster QICK 319 Core,8051.09,11555.91
Fractal Design Core 2300,180.01,Intel Celeron 420,1357.44,Western Digital Green SN350,1608.53,Corsair Vengeance LPX 4 GB,2021.58,ASRock B550M Steel Legend,3311.83,Deepcool PQ1000M,284.1,PowerColor Red Dragon OC,2720.19,11483.68
Cooler Master Q300L V2,302.94,Intel Core i3-12100F,4162.64,Mushkin Helix-L,1701.1,Crucial CT16G48C40U5 16 GB,2739.65,ASRock A620M Pro RS,2623.81,Corsair RM650 (2023),566.14,PowerColor Hellhound,3996.33,16092.61
Fractal Design Pop Air RGB,330.41,Intel Core i5-9500,748.28,Inland Professional,1875.11,Corsair Vengeance 64 GB,65.66,Gigabyte B650M K,1990.81,EVGA 600 BQ,541.87,Zotac GAMING Twin Edge OC,8104.96,13657.1
Zalman P30,680.34,AMD Threadripper 2970WX,3552.11,Crucial BX500,561.14,Samsung M378A2K43CB1-CTD 16 GB,3383.19,Gigabyte B760 DS3H AC,97.98,Gigabyte UD1000GM PG5 (rev. 2.0),641.3,Asus STRIX GAMING OC,8446.65,17362.71
HYTE Y60 Snow White,953.2,AMD Ryzen 9 3950X,1230.73,Crucial BX500,2337.8,Corsair Vengeance 64 GB,2560.73,Asus PRIME Z790-A WIFI,1186.8,EVGA SuperNOVA 1000G XC,665.91,XFX Speedster QICK 319 Core,760.12,9695.29
